source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
FIG_5E_CELL_AUTO_C_CYTOPLASMIC_1_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_C_CYTOPLASMIC_1_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_C_CYTOPLASMIC_1_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_C_CYTOPLASMIC_1_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C9_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C9_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C9_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C9_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_2B_16_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_2B_16_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_2B_16_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_2B_16_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_CYTOPLASMIC_7_2_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_CYTOPLASMIC_7_2_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_CYTOPLASMIC_7_2_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_CYTOPLASMIC_7_2_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_6A_3_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_6A_3_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_6A_3_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_6A_3_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C6_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C6_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C6_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C6_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_A_MEMBRANE_5_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_A_MEMBRANE_5_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_A_MEMBRANE_5_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_A_MEMBRANE_5_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_1_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_1_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_1_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_IGFR1I_AXLI_A_MEMBRANE_1_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_B_MEMBRANE_12_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_B_MEMBRANE_12_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_B_MEMBRANE_12_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_B_MEMBRANE_12_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_2E_1_TMT_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_2E_1_TMT_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_2E_1_TMT_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_2E_1_TMT_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_2B_20_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_2B_20_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_2B_20_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_2B_20_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_MEMBRANE_3_2_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_MEMBRANE_3_2_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_MEMBRANE_3_2_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_MEMBRANE_3_2_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_AKTI_B_MEMBRANE_11_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_B_MEMBRANE_11_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_B_MEMBRANE_11_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_B_MEMBRANE_11_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_MEMBRANE_9_1_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_MEMBRANE_9_1_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_MEMBRANE_9_1_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_MEMBRANE_9_1_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_6_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_6_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_6_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_6_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_CYTOPLASMIC_11_1_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_CYTOPLASMIC_11_1_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_CYTOPLASMIC_11_1_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_CYTOPLASMIC_11_1_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_7_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_7_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_7_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_7_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_10_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_10_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_10_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_IGFR1I_AXLI_C_MEMBRANE_10_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_MEMBRANE_10_1_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_MEMBRANE_10_1_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_MEMBRANE_10_1_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_MEMBRANE_10_1_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_3E_3_TMT_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_3E_3_TMT_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_3E_3_TMT_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_3E_3_TMT_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_C_CYTOPLASMIC_2_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_C_CYTOPLASMIC_2_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_C_CYTOPLASMIC_2_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_C_CYTOPLASMIC_2_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_4B_6_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_4B_6_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_4B_6_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_4B_6_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
