source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
2015-03-21_Peptide_39_STATIC_3_3mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_39_STATIC_3_3mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_39_STATIC_3_3mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_39_STATIC_3_3mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_14_STATIC_2_5mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_14_STATIC_2_5mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_14_STATIC_2_5mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_14_STATIC_2_5mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_15_STATIC_2_3mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_15_STATIC_2_3mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_15_STATIC_2_3mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_15_STATIC_2_3mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_11_STATIC_3_5mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_11_STATIC_3_5mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_11_STATIC_3_5mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_11_STATIC_3_5mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_19_STATIC_2_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_19_STATIC_2_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_19_STATIC_2_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_19_STATIC_2_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_10_Control	synthetic construct	not available	not applicable	not available	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_10_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_10_Control.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_10_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_30_STATIC_2_5mJ_100_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_30_STATIC_2_5mJ_100_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_30_STATIC_2_5mJ_100_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_30_STATIC_2_5mJ_100_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_40_STATIC_2_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_40_STATIC_2_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_40_STATIC_2_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_40_STATIC_2_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_26_STATIC_2_3mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_26_STATIC_2_3mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_26_STATIC_2_3mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_26_STATIC_2_3mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150617_KLF_HeLa_NCE28	synthetic construct	not available	not applicable	not available	1	OR7_20150617_KLF_HeLa_NCE28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150617_KLF_HeLa_NCE28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150617_KLF_HeLa_NCE28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_30_STATIC_2_5mJ_200_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_30_STATIC_2_5mJ_200_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_30_STATIC_2_5mJ_200_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_30_STATIC_2_5mJ_200_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150807_KLF_Hela_75ms_HCD_	synthetic construct	not available	not applicable	not available	1	OR7_20150807_KLF_Hela_75ms_HCD_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150807_KLF_Hela_75ms_HCD_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150807_KLF_Hela_75ms_HCD_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_5_3mJ_UVPD	synthetic construct	not available	not applicable	not available	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_5_3mJ_UVPD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_5_3mJ_UVPD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_5_3mJ_UVPD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_39_STATIC_3_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_39_STATIC_3_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_39_STATIC_3_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_39_STATIC_3_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE24	synthetic construct	not available	not applicable	not available	1	OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150807_KLF_Hela_175ms_HCD_	synthetic construct	not available	not applicable	not available	1	OR7_20150807_KLF_Hela_175ms_HCD_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150807_KLF_Hela_175ms_HCD_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150807_KLF_Hela_175ms_HCD_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_40_STATIC_2_5mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_40_STATIC_2_5mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_40_STATIC_2_5mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_40_STATIC_2_5mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_38_STATIC_3_5mJ_200_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_38_STATIC_3_5mJ_200_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_38_STATIC_3_5mJ_200_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_38_STATIC_3_5mJ_200_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150617_KLF_HeLa_NCE26	synthetic construct	not available	not applicable	not available	1	OR7_20150617_KLF_HeLa_NCE26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150617_KLF_HeLa_NCE26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150617_KLF_HeLa_NCE26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_14_STATIC_3_3mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_14_STATIC_3_3mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_14_STATIC_3_3mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_14_STATIC_3_3mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150805_KLF_Hela_3mJ_75ms_	synthetic construct	not available	not applicable	not available	1	OR7_20150805_KLF_Hela_3mJ_75ms_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150805_KLF_Hela_3mJ_75ms_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150805_KLF_Hela_3mJ_75ms_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_11_STATIC_3_HCD_25	synthetic construct	not available	not applicable	not available	25	2015-03-21_Peptide_11_STATIC_3_HCD_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_11_STATIC_3_HCD_25.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_11_STATIC_3_HCD_25.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_15_STATIC_3_5mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_15_STATIC_3_5mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_15_STATIC_3_5mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_15_STATIC_3_5mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_27_STATIC_2_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_27_STATIC_2_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_27_STATIC_2_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_27_STATIC_2_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE34	synthetic construct	not available	not applicable	not available	1	OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150616_KLF_HeLa_iongun_100V_1ms_NCE34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150805_KLF_Hela_3mJ_300ms_	synthetic construct	not available	not applicable	not available	1	OR7_20150805_KLF_Hela_3mJ_300ms_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150805_KLF_Hela_3mJ_300ms_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150805_KLF_Hela_3mJ_300ms_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_16_STATIC_2_5mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_16_STATIC_2_5mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_16_STATIC_2_5mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_16_STATIC_2_5mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_22_STATIC_2_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_22_STATIC_2_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_22_STATIC_2_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_22_STATIC_2_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_6_Control	synthetic construct	not available	not applicable	not available	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_6_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_6_Control.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_6_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_2_Control	synthetic construct	not available	not applicable	not available	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_2_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_2_Control.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/OR7_20150624_KLF_HeLa_iongun_100V_1ms_NCE10_Post_Mod_2_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_23_STATIC_2_5mJ_100_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_23_STATIC_2_5mJ_100_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_23_STATIC_2_5mJ_100_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_23_STATIC_2_5mJ_100_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_22_STATIC_2_3mJ	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_22_STATIC_2_3mJ	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_22_STATIC_2_3mJ.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_22_STATIC_2_3mJ.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_25_STATIC_2_HCD_25	synthetic construct	not available	not applicable	not available	25	2015-03-21_Peptide_25_STATIC_2_HCD_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_25_STATIC_2_HCD_25.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_25_STATIC_2_HCD_25.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
2015-03-21_Peptide_23_STATIC_2_5mJ_050_Hz	synthetic construct	not available	not applicable	not available	1	2015-03-21_Peptide_23_STATIC_2_5mJ_050_Hz	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	2015-03-21_Peptide_23_STATIC_2_5mJ_050_Hz.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD003109/2015-03-21_Peptide_23_STATIC_2_5mJ_050_Hz.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
