source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cell part]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026132-Sample 11	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F4_b.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F4_b.raw	eosinophil
PXD026132-Sample 12	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F4_c.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F4_c.raw	eosinophil
PXD026132-Sample 13	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_a.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_a.raw	eosinophil
PXD026132-Sample 14	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_b.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_b.raw	eosinophil
PXD026132-Sample 15	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_c.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F5_c.raw	eosinophil
PXD026132-Sample 16	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_a.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_a.raw	eosinophil
PXD026132-Sample 17	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_b.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_b.raw	eosinophil
PXD026132-Sample 18	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	cytosolic fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_c.raw	2.2 Da	10 ppm	1	20180925_rmi049_75idPLRPS_APA_EOS_Cyto_F6_c.raw	eosinophil
PXD026132-Sample 19	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_a.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_a.raw	eosinophil
PXD026132-Sample 20	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_b.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_b.raw	eosinophil
PXD026132-Sample 21	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_c.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F1_c.raw	eosinophil
PXD026132-Sample 22	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_a.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_a.raw	eosinophil
PXD026132-Sample 23	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_b.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_b.raw	eosinophil
PXD026132-Sample 24	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_c.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F2_c.raw	eosinophil
PXD026132-Sample 25	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_a.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_a.raw	eosinophil
PXD026132-Sample 26	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_b.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_b.raw	eosinophil
PXD026132-Sample 27	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_c.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F3_c.raw	eosinophil
PXD026132-Sample 28	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_a.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_a.raw	eosinophil
PXD026132-Sample 29	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 29	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_b.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_b.raw	eosinophil
PXD026132-Sample 30	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 30	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_c.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F4_c.raw	eosinophil
PXD026132-Sample 31	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 31	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F5_a.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F5_a.raw	eosinophil
PXD026132-Sample 32	Homo sapiens	blood	normal	eosinophil	not available	not available	not available	1	peripheral blood	not available	1	run 32	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	nuclear fraction	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026132/20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F5_b.raw	2.2 Da	10 ppm	1	20180930_rmi049_75idPLRPS_APA_EOS_Nuc_F5_b.raw	eosinophil
