source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[label]	comment[fraction identifier]	comment[data file]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]
IFN-alpha2A_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	IFN-alpha2A	IFN-alpha2A_rep1_F07	proteomic profiling by mass spectrometry	NT=TMT127C;AC=PRIDE:0000518	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	mock	mock_rep1_F07	proteomic profiling by mass spectrometry	NT=TMT127N;AC=PRIDE:0000519	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	IFN-alpha2A	IFN-alpha2A_rep2_F07	proteomic profiling by mass spectrometry	NT=TMT128C;AC=PRIDE:0000521	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	mock	mock_rep2_F07	proteomic profiling by mass spectrometry	NT=TMT128N;AC=PRIDE:0000522	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	IFN-alpha2A	IFN-alpha2A_rep3_F07	proteomic profiling by mass spectrometry	NT=TMT129C;AC=PRIDE:0000524	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	mock	mock_rep3_F07	proteomic profiling by mass spectrometry	NT=TMT129N;AC=PRIDE:0000525	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
3p-hpRNA_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	3p-hpRNA	3p-hpRNA_rep1_F07	proteomic profiling by mass spectrometry	NT=TMT131C;AC=PRIDE:0000581	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	sRNA	sRNA_rep1_F07	proteomic profiling by mass spectrometry	NT=TMT131N;AC=PRIDE:0000580	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
3p-hpRNA_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	3p-hpRNA	3p-hpRNA_rep2_F07	proteomic profiling by mass spectrometry	NT=TMT132C;AC=PRIDE:0000583	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	sRNA	sRNA_rep2_F07	proteomic profiling by mass spectrometry	NT=TMT132N;AC=PRIDE:0000582	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
3p-hpRNA_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	3p-hpRNA	3p-hpRNA_rep3_F07	proteomic profiling by mass spectrometry	NT=TMT133C;AC=PRIDE:0000633	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	sRNA	sRNA_rep3_F07	proteomic profiling by mass spectrometry	NT=TMT133N;AC=PRIDE:0000632	7	20240430_AS_LC4_GF_Sante_exp2_400ng_F07.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
IFN-alpha2A_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	IFN-alpha2A	IFN-alpha2A_rep1_F08	proteomic profiling by mass spectrometry	NT=TMT127C;AC=PRIDE:0000518	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	mock	mock_rep1_F08	proteomic profiling by mass spectrometry	NT=TMT127N;AC=PRIDE:0000519	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	IFN-alpha2A	IFN-alpha2A_rep2_F08	proteomic profiling by mass spectrometry	NT=TMT128C;AC=PRIDE:0000521	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	mock	mock_rep2_F08	proteomic profiling by mass spectrometry	NT=TMT128N;AC=PRIDE:0000522	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	IFN-alpha2A	IFN-alpha2A_rep3_F08	proteomic profiling by mass spectrometry	NT=TMT129C;AC=PRIDE:0000524	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	mock	mock_rep3_F08	proteomic profiling by mass spectrometry	NT=TMT129N;AC=PRIDE:0000525	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
3p-hpRNA_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	3p-hpRNA	3p-hpRNA_rep1_F08	proteomic profiling by mass spectrometry	NT=TMT131C;AC=PRIDE:0000581	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	sRNA	sRNA_rep1_F08	proteomic profiling by mass spectrometry	NT=TMT131N;AC=PRIDE:0000580	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
3p-hpRNA_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	3p-hpRNA	3p-hpRNA_rep2_F08	proteomic profiling by mass spectrometry	NT=TMT132C;AC=PRIDE:0000583	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	sRNA	sRNA_rep2_F08	proteomic profiling by mass spectrometry	NT=TMT132N;AC=PRIDE:0000582	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
3p-hpRNA_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	3p-hpRNA	3p-hpRNA_rep3_F08	proteomic profiling by mass spectrometry	NT=TMT133C;AC=PRIDE:0000633	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	3p-hpRNA
sRNA_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	sRNA	sRNA_rep3_F08	proteomic profiling by mass spectrometry	NT=TMT133N;AC=PRIDE:0000632	8	20240430_AS_LC4_GF_Sante_exp2_400ng_F08.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	sRNA
IFN-alpha2A_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	IFN-alpha2A	IFN-alpha2A_rep1_F09	proteomic profiling by mass spectrometry	NT=TMT127C;AC=PRIDE:0000518	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep1	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	1	mock	mock_rep1_F09	proteomic profiling by mass spectrometry	NT=TMT127N;AC=PRIDE:0000519	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	IFN-alpha2A	IFN-alpha2A_rep2_F09	proteomic profiling by mass spectrometry	NT=TMT128C;AC=PRIDE:0000521	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep2	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	2	mock	mock_rep2_F09	proteomic profiling by mass spectrometry	NT=TMT128N;AC=PRIDE:0000522	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
IFN-alpha2A_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	IFN-alpha2A	IFN-alpha2A_rep3_F09	proteomic profiling by mass spectrometry	NT=TMT129C;AC=PRIDE:0000524	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	IFN-alpha2A
mock_rep3	Homo sapiens	bronchial epithelium	normal	BEAS-2B	not available	not available	3	mock	mock_rep3_F09	proteomic profiling by mass spectrometry	NT=TMT129N;AC=PRIDE:0000525	9	20240430_AS_LC4_GF_Sante_exp2_400ng_F09.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	7 ppm	0.5 Da	mock
