source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Leyuan_20210819_300drugs_TMT_V49_P1G	Leyuan_20210819_300drugs_TMT_V49_P1G	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P1G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P1G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P1H	Leyuan_20210819_300drugs_TMT_V49_P1H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P1H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P1H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P2A	Leyuan_20210819_300drugs_TMT_V49_P2A	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P2A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P2A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P2B	Leyuan_20210819_300drugs_TMT_V49_P2B	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P2B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P2B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P2D	Leyuan_20210819_300drugs_TMT_V49_P2D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P2D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P2F	Leyuan_20210819_300drugs_TMT_V49_P2F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P2F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P2F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P3B	Leyuan_20210819_300drugs_TMT_V49_P3B	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P3B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P3B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P3H	Leyuan_20210819_300drugs_TMT_V49_P3H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P3H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P3H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P4A	Leyuan_20210819_300drugs_TMT_V49_P4A	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P4A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P4D	Leyuan_20210819_300drugs_TMT_V49_P4D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P4D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P4D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P4E	Leyuan_20210819_300drugs_TMT_V49_P4E	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P4E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P4E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210819_300drugs_TMT_V49_P4G	Leyuan_20210819_300drugs_TMT_V49_P4G	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210819_300drugs_TMT_V49_P4G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210819_300drugs_TMT_V49_P4G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P1F	Leyuan_20210823_300drugs_TMT_V52_P1F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P1F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P1F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P1G	Leyuan_20210823_300drugs_TMT_V52_P1G	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P1G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P1G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P1H	Leyuan_20210823_300drugs_TMT_V52_P1H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P1H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P1H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P2B	Leyuan_20210823_300drugs_TMT_V52_P2B	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P2B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P2B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P2C	Leyuan_20210823_300drugs_TMT_V52_P2C	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P2C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P2C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P2E	Leyuan_20210823_300drugs_TMT_V52_P2E	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P2E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P2E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P2F	Leyuan_20210823_300drugs_TMT_V52_P2F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P2F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P2F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P2H	Leyuan_20210823_300drugs_TMT_V52_P2H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P2H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P2H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P3D	Leyuan_20210823_300drugs_TMT_V52_P3D	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P3D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P3D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P3F	Leyuan_20210823_300drugs_TMT_V52_P3F	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P3F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P3F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Leyuan_20210823_300drugs_TMT_V52_P3H	Leyuan_20210823_300drugs_TMT_V52_P3H	Human gut metagenome	Feces	not applicable	not available	Systematic_Metaproteomic_Mapping_of_Ex_vivo_Gut_Microbiota_Functional_Responses_to_Therapeutic_Drugs_1	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Leyuan_20210823_300drugs_TMT_V52_P3H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	Leyuan_20210823_300drugs_TMT_V52_P3H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
