source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SS_20210104_6600TF-M_Body_N2_UTC_Fat-c.group	SS_20210104_6600TF-M_Body_N2_UTC_Fat-c.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Body_N2_UTC_Fat-c.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Body_N2_UTC_Fat-c.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-a	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-b	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-d-1.group	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-d-1.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-d-1.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Defat-d-1.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-a	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-b	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-c	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-c	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-c.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-d.group	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-d.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-d.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_Tris_Fat-d.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-d	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-d	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Defat-d.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-c.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-c.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-c.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-c.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d.group	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_Bead_UTC_Fat-d.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a.group	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-a.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-b	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c.group	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-c.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Defat-d.group	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-d.group	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-d.group	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Defat-d.group	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_Tris_Fat-a	SS_20210104_6600TF-M_Guts_N2_Tris_Fat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_Tris_Fat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_Tris_Fat-a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_UTC_Defat-a	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-a	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_UTC_Defat-b	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-b	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-b.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
SS_20210104_6600TF-M_Guts_N2_UTC_Defat-c	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-c	Hermetia illucens	Gut	not applicable	not available	Dataset_from_The_proteome_landscape_of_the_black_soldier_fly_provides_insights_into_protein_function_and_microbial_diversity	Gut	Gut	not available	not available	not available	not available	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	SS_20210104_6600TF-M_Guts_N2_UTC_Defat-c.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
