source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	12	1	MS160702-A12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	13	1	MS160702-A13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	13	1	MS160702-A13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	13	1	MS160702-A13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	13	1	MS160702-A13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	14	1	MS160702-A14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	14	1	MS160702-A14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	14	1	MS160702-A14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	14	1	MS160702-A14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 57	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	15	1	MS160702-A15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	15	1	MS160702-A15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	15	1	MS160702-A15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 60	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	15	1	MS160702-A15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 61	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	16	1	MS160702-A16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 62	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	16	1	MS160702-A16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	16	1	MS160702-A16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	16	1	MS160702-A16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	17	1	MS160702-A17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 66	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	17	1	MS160702-A17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 67	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	17	1	MS160702-A17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 68	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	17	1	MS160702-A17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 69	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	18	1	MS160702-A18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 70	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	18	1	MS160702-A18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 71	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	18	1	MS160702-A18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
