source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
S2_dDAVP_phos_F1_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S2_dDAVP_phos_F1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_phos_F3_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S3_dDAVP_phos_F3_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_phos_F3_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_phos_F3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F5_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S2_dDAVP_phos_F5_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F5_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F5_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F8_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S2_dDAVP_phos_F8_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F8_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F8_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_phos_F8_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S3_dDAVP_phos_F8_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_phos_F8_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_phos_F8_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_phos_F4_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S1_dDAVP_phos_F4_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_phos_F4_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_phos_F4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_phos_F6_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S4_dDAVP_phos_F6_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_phos_F6_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_phos_F6_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_total_IMAC_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S3_dDAVP_total_IMAC_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_total_IMAC_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_total_IMAC_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_phos_F7_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S4_dDAVP_phos_F7_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_phos_F7_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_phos_F7_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_phos_F4_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S1_dDAVP_phos_F4_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_phos_F4_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_phos_F4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_phos_F7_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S1_dDAVP_phos_F7_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_phos_F7_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_phos_F7_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_phos_F1_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S3_dDAVP_phos_F1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_phos_F1_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_phos_F1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_total_TiO2_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S1_dDAVP_total_TiO2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_total_TiO2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_total_TiO2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_phos_F7_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S4_dDAVP_phos_F7_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_phos_F7_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_phos_F7_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_phos_F8_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S4_dDAVP_phos_F8_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_phos_F8_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_phos_F8_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F5_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S2_dDAVP_phos_F5_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F5_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F5_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_total_TiO2_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S4_dDAVP_total_TiO2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_total_TiO2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_total_TiO2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F6_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S2_dDAVP_phos_F6_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F6_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F6_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F5_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S2_dDAVP_phos_F5_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F5_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F5_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_phos_F1_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S3_dDAVP_phos_F1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_phos_F1_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_phos_F1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_phos_F3_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S1_dDAVP_phos_F3_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_phos_F3_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_phos_F3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F2_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S2_dDAVP_phos_F2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F2_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S1_dDAVP_total_IMAC_01	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	1	S1_dDAVP_total_IMAC_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S1_dDAVP_total_IMAC_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S1_dDAVP_total_IMAC_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S3_dDAVP_phos_F2_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S3_dDAVP_phos_F2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S3_dDAVP_phos_F2_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S3_dDAVP_phos_F2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S4_dDAVP_phos_F5_03	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	3	S4_dDAVP_phos_F5_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S4_dDAVP_phos_F5_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S4_dDAVP_phos_F5_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
S2_dDAVP_phos_F1_02	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	male	2	S2_dDAVP_phos_F1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	28% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	S2_dDAVP_phos_F1_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001729/S2_dDAVP_phos_F1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
