source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell state]
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_10	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_11	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_12	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_13	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_14	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 1	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	1	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210302_MB_SHSY5Y_PMA_XL_FA_fr_15	proteomic profiling by mass spectrometry	20210302_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210302_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_06to08	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_06to08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_06to08.raw	1	06to08	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_09	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_09.raw	1	09	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_10	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_11	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_12	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_13	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_14	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_15	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_16	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_16.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 2	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	2	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210304_MB_SHSY5Y_PMA_XL_FA_fr_17to19	proteomic profiling by mass spectrometry	20210304_MB_SHSY5Y_PMA_XL_FA_fr_17to19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210304_MB_SHSY5Y_PMA_XL_FA_fr_17to19.raw	1	17to19	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_06to08	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_06to08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_06to08.raw	1	06to08	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_09	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_09.raw	1	09	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_10	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_11	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_12	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_13	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_14	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
SH-SY5Y RA/PMA-differentiated formaldehyde crosslinked replicate 3	Homo sapiens	not applicable	SH-SY5Y	neuroblastoma	3	not available	not available	size exclusion chromatography	not available	15 min	37 C	20210319_MB_SHSY5Y_PMA_XL_FA_fr_15	proteomic profiling by mass spectrometry	20210319_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031054/20210319_MB_SHSY5Y_PMA_XL_FA_fr_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	not available	6 ppm	8 ppm	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=formaldehyde;AC=CHEBI:16842	size exclusion chromatography	TCEP	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	RA/PMA-differentiated
