source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
MU-R1T3-CCA-2	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	2	MU-R1T3-CCA-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R1T3-CCA-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R1T3-CCA-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3T3CCA-Pep-5	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	5	MU-R3T3CCA-Pep-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3T3CCA-Pep-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3T3CCA-Pep-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R1T1-NO-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	MU-R1T1-NO-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R1T1-NO-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R1T1-NO-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R1T3-NO-Pep-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	MU-R1T3-NO-Pep-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R1T3-NO-Pep-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R1T3-NO-Pep-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-2R1pcf-Ti02-5	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	5	MU-2R1pcf-Ti02-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-2R1pcf-Ti02-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-2R1pcf-Ti02-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3T3CCA-6	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	6	MU-R3T3CCA-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3T3CCA-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3T3CCA-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3T1CCA-Pep-6	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	6	MU-R3T1CCA-Pep-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3T1CCA-Pep-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3T1CCA-Pep-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU2-R3T1NO-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	MU2-R3T1NO-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU2-R3T1NO-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU2-R3T1NO-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R1T3-NO-4	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	4	MU-R1T3-NO-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R1T3-NO-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R1T3-NO-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T1NO-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	R2T1NO-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T1NO-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T1NO-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T1-CCA-PEP6	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	1	R2T1-CCA-PEP6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T1-CCA-PEP6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T1-CCA-PEP6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T3NO-PEP2	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	1	R2T3NO-PEP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T3NO-PEP2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T3NO-PEP2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T1NO-4	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	4	R2T1NO-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T1NO-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T1NO-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T0-6	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	6	R2T0-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T0-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T0-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3T3CCA-4	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	4	MU-R3T3CCA-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3T3CCA-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3T3CCA-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
2-R2T1CCA-1	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	1	2-R2T1CCA-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	2-R2T1CCA-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/2-R2T1CCA-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
R2T3CCA-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	R2T3CCA-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	R2T3CCA-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/R2T3CCA-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-2R1T3-CCA-5	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	5	MU-2R1T3-CCA-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-2R1T3-CCA-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-2R1T3-CCA-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R2Pcf-1	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	1	MU-R2Pcf-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R2Pcf-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R2Pcf-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU2-R3Pcf-6a	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	1	MU2-R3Pcf-6a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU2-R3Pcf-6a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU2-R3Pcf-6a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3Pcf-Pep-6	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	6	MU-R3Pcf-Pep-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3Pcf-Pep-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3Pcf-Pep-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3Pcf-3	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	3	MU-R3Pcf-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3Pcf-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3Pcf-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R2Pcf-Pep-2	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	2	MU-R2Pcf-Pep-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R2Pcf-Pep-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R2Pcf-Pep-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
MU-R3T1NO-5	trypanosoma brucei	blood	not applicable	Trypanosomiasis	enrichment of phosphorylated protein	5	MU-R3T1NO-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	MU-R3T1NO-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD002165/MU-R3T1NO-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	blood
