source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150113_QEp6_MaSt_SA_Rab8-IP_GSK_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20150113_QEp6_MaSt_SA_Rab8-IP_GSK_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150113_QEp6_MaSt_SA_Rab8-IP_GSK_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150113_QEp6_MaSt_SA_Rab8-IP_GSK_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20141125_QEp6_MaSt_SA_Rab10-IP_HG_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20141125_QEp6_MaSt_SA_Rab10-IP_HG_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20141125_QEp6_MaSt_SA_Rab10-IP_HG_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20141125_QEp6_MaSt_SA_Rab10-IP_HG_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140820_QEp4_MaSt_SA_MEFs_wtMLI2_Prot_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20140820_QEp4_MaSt_SA_MEFs_wtMLI2_Prot_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140820_QEp4_MaSt_SA_MEFs_wtMLI2_Prot_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140820_QEp4_MaSt_SA_MEFs_wtMLI2_Prot_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_rep_mem_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_rep_mem_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_rep_mem_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_rep_mem_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_Orbi6_MaSt_SA_Rab1_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150313_Orbi6_MaSt_SA_Rab1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_Orbi6_MaSt_SA_Rab1LRRK_30_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150313_Orbi6_MaSt_SA_Rab1LRRK_30_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1LRRK_30_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1LRRK_30_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140224_EXQ3_MaSt_SA_MEFs_G2019S_Phospho_3_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20140224_EXQ3_MaSt_SA_MEFs_G2019S_Phospho_3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140224_EXQ3_MaSt_SA_MEFs_G2019S_Phospho_3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140224_EXQ3_MaSt_SA_MEFs_G2019S_Phospho_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20141125_QEp6_MaSt_SA_Rab10-IP_HG_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20141125_QEp6_MaSt_SA_Rab10-IP_HG_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20141125_QEp6_MaSt_SA_Rab10-IP_HG_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20141125_QEp6_MaSt_SA_Rab10-IP_HG_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_3_151204093227	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_3_151204093227	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_3_151204093227.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_3_151204093227.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20141125_QEp6_MaSt_SA_Rab10-IP_GSK_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20141125_QEp6_MaSt_SA_Rab10-IP_GSK_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20141125_QEp6_MaSt_SA_Rab10-IP_GSK_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20141125_QEp6_MaSt_SA_Rab10-IP_GSK_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151216_QEp6_MaSt_SA_flag-LRRK2_GS_IP-HA_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20151216_QEp6_MaSt_SA_flag-LRRK2_GS_IP-HA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151216_QEp6_MaSt_SA_flag-LRRK2_GS_IP-HA_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151216_QEp6_MaSt_SA_flag-LRRK2_GS_IP-HA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150113_QEp6_MaSt_SA_Rab8-IP_GSK_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150113_QEp6_MaSt_SA_Rab8-IP_GSK_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150113_QEp6_MaSt_SA_Rab8-IP_GSK_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150113_QEp6_MaSt_SA_Rab8-IP_GSK_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_Orbi6_MaSt_SA_Rab1LRRK_90_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150313_Orbi6_MaSt_SA_Rab1LRRK_90_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1LRRK_90_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1LRRK_90_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-29_ph8	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-29_ph8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-29_ph8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-29_ph8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_EXQ00_MaSt_SA_MEFs_G2019S_IP-Rab8_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150313_EXQ00_MaSt_SA_MEFs_G2019S_IP-Rab8_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_EXQ00_MaSt_SA_MEFs_G2019S_IP-Rab8_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_EXQ00_MaSt_SA_MEFs_G2019S_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_cyt_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_cyt_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_cyt_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150903_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_cyt_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105E_IP-HA_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105E_IP-HA_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105E_IP-HA_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105E_IP-HA_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105A_IP-HA_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105A_IP-HA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105A_IP-HA_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151003_Qep3_MaSt_SA_293T_HA-Rab12_S105A_IP-HA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2Inh	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2Inh	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2Inh.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2Inh.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
