source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
191018_NecromSIP_3_day0	191018_NecromSIP_3_day0	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_3_day0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_3_day0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_4_12C_day2.msf	191018_NecromSIP_4_12C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_4_12C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_4_12C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_4_12C_day2	191018_NecromSIP_4_12C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_4_12C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_4_12C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_5_12C_day2.msf	191018_NecromSIP_5_12C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_5_12C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_5_12C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_5_12C_day2	191018_NecromSIP_5_12C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_5_12C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_5_12C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_6_12C_day2.msf	191018_NecromSIP_6_12C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_6_12C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_6_12C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_6_12C_day2	191018_NecromSIP_6_12C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_6_12C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_6_12C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_7_13C_day2.msf	191018_NecromSIP_7_13C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_7_13C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_7_13C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_7_13C_day2	191018_NecromSIP_7_13C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_7_13C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_7_13C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_8_13C_day2.msf	191018_NecromSIP_8_13C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_8_13C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_8_13C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_8_13C_day2	191018_NecromSIP_8_13C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_8_13C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_8_13C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_9_13C_day2.msf	191018_NecromSIP_9_13C_day2.msf	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_9_13C_day2.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_9_13C_day2.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
191018_NecromSIP_9_13C_day2	191018_NecromSIP_9_13C_day2	Escherichia coli	groundwater	not applicable	not available	Bacterial_necromass_is_rapidly_metabolized_by_heterotrophic_bacteria_and_supports_multiple_trophic_levels_of_the_groundwater_microbiome	groundwater	groundwater	not available	not available	not available	not available	groundwater microbiome	1	191018_NecromSIP_9_13C_day2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	191018_NecromSIP_9_13C_day2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	groundwater
