source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[depletion]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[FAIMS compensation voltage]	factor value[DIA method]	factor value[FAIMS compensation voltage]	factor value[individual]
PXD062313_donor4	Homo sapiens	blood plasma	4	not pooled	normal	no depletion	not available	not available	adult	donor4	20250112_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio04_D4_R01	proteomic profiling by mass spectrometry	10	20250112_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio04_D4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor4
PXD062313_donor5	Homo sapiens	blood plasma	5	not pooled	normal	no depletion	not available	not available	adult	donor5	20250112_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio05_E4_R01	proteomic profiling by mass spectrometry	10	20250112_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio05_E4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-12	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor5
PXD062313_donor1	Homo sapiens	blood plasma	1	not pooled	normal	no depletion	not available	not available	adult	donor1	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio01_A2_R01	proteomic profiling by mass spectrometry	11	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio01_A2_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor1
PXD062313_donor2	Homo sapiens	blood plasma	2	not pooled	normal	no depletion	not available	not available	adult	donor2	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio02_B2_R01	proteomic profiling by mass spectrometry	11	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio02_B2_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor2
PXD062313_donor3	Homo sapiens	blood plasma	3	not pooled	normal	no depletion	not available	not available	adult	donor3	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio03_C2_R01	proteomic profiling by mass spectrometry	11	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio03_C2_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor3
PXD062313_donor4	Homo sapiens	blood plasma	4	not pooled	normal	no depletion	not available	not available	adult	donor4	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio04_D2_R01	proteomic profiling by mass spectrometry	11	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio04_D2_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor4
PXD062313_donor5	Homo sapiens	blood plasma	5	not pooled	normal	no depletion	not available	not available	adult	donor5	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio05_E2_R01	proteomic profiling by mass spectrometry	11	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT01_RepBio05_E2_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor5
PXD062313_donor1	Homo sapiens	blood plasma	1	not pooled	normal	no depletion	not available	not available	adult	donor1	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio01_A4_R01	proteomic profiling by mass spectrometry	12	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio01_A4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor1
PXD062313_donor2	Homo sapiens	blood plasma	2	not pooled	normal	no depletion	not available	not available	adult	donor2	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio02_B4_R01	proteomic profiling by mass spectrometry	12	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio02_B4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor2
PXD062313_donor3	Homo sapiens	blood plasma	3	not pooled	normal	no depletion	not available	not available	adult	donor3	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio03_C4_R01	proteomic profiling by mass spectrometry	12	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio03_C4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor3
PXD062313_donor4	Homo sapiens	blood plasma	4	not pooled	normal	no depletion	not available	not available	adult	donor4	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio04_D4_R01	proteomic profiling by mass spectrometry	12	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio04_D4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor4
PXD062313_donor5	Homo sapiens	blood plasma	5	not pooled	normal	no depletion	not available	not available	adult	donor5	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio05_E4_R01	proteomic profiling by mass spectrometry	12	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT02_RepBio05_E4_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor5
PXD062313_donor1	Homo sapiens	blood plasma	1	not pooled	normal	no depletion	not available	not available	adult	donor1	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio01_A6_R01	proteomic profiling by mass spectrometry	13	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio01_A6_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor1
PXD062313_donor2	Homo sapiens	blood plasma	2	not pooled	normal	no depletion	not available	not available	adult	donor2	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio02_B6_R01	proteomic profiling by mass spectrometry	13	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio02_B6_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor2
PXD062313_donor3	Homo sapiens	blood plasma	3	not pooled	normal	no depletion	not available	not available	adult	donor3	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio03_C6_R01	proteomic profiling by mass spectrometry	13	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio03_C6_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor3
PXD062313_donor4	Homo sapiens	blood plasma	4	not pooled	normal	no depletion	not available	not available	adult	donor4	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio04_D6_R01	proteomic profiling by mass spectrometry	13	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio04_D6_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor4
PXD062313_donor5	Homo sapiens	blood plasma	5	not pooled	normal	no depletion	not available	not available	adult	donor5	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio05_E6_R01	proteomic profiling by mass spectrometry	13	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT03_RepBio05_E6_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor5
PXD062313_donor1	Homo sapiens	blood plasma	1	not pooled	normal	no depletion	not available	not available	adult	donor1	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio01_A8_R01	proteomic profiling by mass spectrometry	14	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio01_A8_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor1
PXD062313_donor2	Homo sapiens	blood plasma	2	not pooled	normal	no depletion	not available	not available	adult	donor2	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio02_B8_R01	proteomic profiling by mass spectrometry	14	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio02_B8_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor2
PXD062313_donor3	Homo sapiens	blood plasma	3	not pooled	normal	no depletion	not available	not available	adult	donor3	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio03_C8_R01	proteomic profiling by mass spectrometry	14	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio03_C8_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor3
PXD062313_donor4	Homo sapiens	blood plasma	4	not pooled	normal	no depletion	not available	not available	adult	donor4	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio04_D8_R01	proteomic profiling by mass spectrometry	14	20250113_OA2_Evo02_ViAl_SA_FAIMS40_IO37_A803_NEAT04_RepBio04_D8_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	10 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-01-13	380m/z-980m/z	150m/z-2000m/z	380	980	4	-40 V	4Th-7ms_380-980	-40 V	donor4
