source name	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[disease]
PXD051470-sample-6	2	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT129N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT129N;AC=PRIDE:0000525	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-7	3	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT129C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT129C;AC=PRIDE:0000524	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-8	4	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT130N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT130N;AC=PRIDE:0000528	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-9	1	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT130C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT130C;AC=PRIDE:0000527	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-10	2	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT131N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT131N;AC=PRIDE:0000580	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-11	3	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT131C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT131C;AC=PRIDE:0000581	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-12	4	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT132N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT132N;AC=PRIDE:0000582	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-13	1	Mus musculus	colon	not available	colitis	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT132C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT132C;AC=PRIDE:0000583	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	colitis
PXD051470-sample-14	2	Mus musculus	colon	not available	colitis	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT133N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT133N;AC=PRIDE:0000632	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	colitis
PXD051470-sample-15	3	Mus musculus	colon	not available	colitis	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT133C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT133C;AC=PRIDE:0000633	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	colitis
PXD051470-sample-16	4	Mus musculus	colon	not available	colitis	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV20_TMT134N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV20.raw	1	20	NT=TMT134N;AC=PRIDE:0000643	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	colitis
PXD051470-sample-1	1	Mus musculus	colon	not available	normal	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT126	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT126;AC=PRIDE:0000516	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	normal
PXD051470-sample-2	2	Mus musculus	colon	not available	normal	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT127N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT127N;AC=PRIDE:0000519	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	normal
PXD051470-sample-3	3	Mus musculus	colon	not available	normal	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT127C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT127C;AC=PRIDE:0000518	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	normal
PXD051470-sample-4	4	Mus musculus	colon	not available	normal	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT128N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT128N;AC=PRIDE:0000522	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	normal
PXD051470-sample-5	1	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT128C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT128C;AC=PRIDE:0000521	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-6	2	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT129N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT129N;AC=PRIDE:0000525	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-7	3	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT129C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT129C;AC=PRIDE:0000524	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-8	4	Mus musculus	colon	not available	normal	Lgmn knockout	not available	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT130N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT130N;AC=PRIDE:0000528	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Lgmn knockout	normal
PXD051470-sample-9	1	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT130C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT130C;AC=PRIDE:0000527	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-10	2	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT131N	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT131N;AC=PRIDE:0000580	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
PXD051470-sample-11	3	Mus musculus	colon	not available	colitis	wild type	C57BL/6	240214_AZ-7847_TMTpro_colon_FAIMS_CV30_TMT131C	proteomic profiling by mass spectrometry	240214_AZ-7847_TMTpro_colon_FAIMS_CV30.raw	1	30	NT=TMT131C;AC=PRIDE:0000581	NT=Orbitrap Fusion Lumos;AC=MS:1002739	40.0 ppm	7.0 ppm	NT=Arg-C;CS=(?<=[R])(?![P])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	wild type	colitis
