source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ADPReplicate1globalpH6Fr8	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate1globalpH6Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1globalpH6Fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1globalpH6Fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3TiO2HILIC36-37	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	37	ADPIloprostReplicate3TiO2HILIC36-37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate3TiO2HILIC36-37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3TiO2HILIC36-37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2globalpH6Fr6	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPIloprostReplicate2globalpH6Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2globalpH6Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2globalpH6Fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC36-37	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	37	ADPIloprostReplicate2TiO2HILIC36-37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC36-37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC36-37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1TiO2HILIC21-30	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	30	ADPReplicate1TiO2HILIC21-30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1TiO2HILIC21-30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1TiO2HILIC21-30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC44-45	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	45	ADPIloprostReplicate2TiO2HILIC44-45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC44-45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC44-45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3TiO2HILIC21-30	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	30	ADPIloprostReplicate3TiO2HILIC21-30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate3TiO2HILIC21-30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3TiO2HILIC21-30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC31-35	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	35	ADPIloprostReplicate2TiO2HILIC31-35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC31-35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC31-35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate1TiO2HILIC30-35	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	35	ADPIloprostReplicate1TiO2HILIC30-35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate1TiO2HILIC30-35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate1TiO2HILIC30-35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1globalpH6Fr5	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate1globalpH6Fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1globalpH6Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1globalpH6Fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC38-39	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	39	ADPIloprostReplicate2TiO2HILIC38-39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC38-39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC38-39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC38-39	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	39	ADPReplicate2TiO2HILIC38-39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate2TiO2HILIC38-39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC38-39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3globalpH6Fr3	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate3globalpH6Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate3globalpH6Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3globalpH6Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1TiO2HILIC44-45	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	45	ADPReplicate1TiO2HILIC44-45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1TiO2HILIC44-45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1TiO2HILIC44-45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC44-45	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	45	ADPReplicate2TiO2HILIC44-45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate2TiO2HILIC44-45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC44-45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1TiO2HILIC48-49	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	49	ADPReplicate1TiO2HILIC48-49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1TiO2HILIC48-49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1TiO2HILIC48-49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1TiO2HILIC50-51	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	51	ADPReplicate1TiO2HILIC50-51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1TiO2HILIC50-51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1TiO2HILIC50-51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC52-60	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	60	ADPIloprostReplicate2TiO2HILIC52-60	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC52-60.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC52-60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC21-30	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	30	ADPReplicate2TiO2HILIC21-30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate2TiO2HILIC21-30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC21-30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3globalpH6Fr2	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate3globalpH6Fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate3globalpH6Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3globalpH6Fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC42-43	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	43	ADPReplicate2TiO2HILIC42-43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate2TiO2HILIC42-43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC42-43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC48-49	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	49	ADPIloprostReplicate2TiO2HILIC48-49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2TiO2HILIC48-49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC48-49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3globalpH6Fr4	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate3globalpH6Fr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate3globalpH6Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3globalpH6Fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2globalpH6Fr1	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate2globalpH6Fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate2globalpH6Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2globalpH6Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1globalpH6Fr7	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate1globalpH6Fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1globalpH6Fr7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1globalpH6Fr7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3globalpH6Fr1	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate3globalpH6Fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate3globalpH6Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3globalpH6Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3globalpH6Fr3	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPIloprostReplicate3globalpH6Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate3globalpH6Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3globalpH6Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate1globalpH6Fr3	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPReplicate1globalpH6Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPReplicate1globalpH6Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate1globalpH6Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2globalpH6Fr4	homo sapiens	Blood	not applicable	not available	enrichment of phosphorylated protein	1	ADPIloprostReplicate2globalpH6Fr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	ADPIloprostReplicate2globalpH6Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2globalpH6Fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
