source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Ckondapalli_130121_11_Rab8b_CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_11_Rab8b_CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_11_Rab8b_CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_11_Rab8b_CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_09_Rab8b_-CCCP_Vector	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_09_Rab8b_-CCCP_Vector	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_09_Rab8b_-CCCP_Vector.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_09_Rab8b_-CCCP_Vector.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_09_Rab13_CCCP_PINKKI	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_09_Rab13_CCCP_PINKKI	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_09_Rab13_CCCP_PINKKI.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_09_Rab13_CCCP_PINKKI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction9-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction9-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction9-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction9-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction11-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction11-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction11-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction11-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_02_Rab8a_-CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_02_Rab8a_-CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_02_Rab8a_-CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_02_Rab8a_-CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction9-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction9-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction9-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction9-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction8-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction8-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction8-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction8-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction9-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction9-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction9-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction9-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction12-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction12-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction12-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction12-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction5-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction5-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction5-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction5-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction10-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction10-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction10-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction10-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction12-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction12-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction12-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction12-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction15-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction15-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction15-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction15-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction8-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction8-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction8-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction8-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_06_Rab8a_CCCP_Vector	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_06_Rab8a_CCCP_Vector	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_06_Rab8a_CCCP_Vector.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_06_Rab8a_CCCP_Vector.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_05_Rab8a_CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_05_Rab8a_CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_05_Rab8a_CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_05_Rab8a_CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction10-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction10-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction10-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction10-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_07_Rab8b_-CCCP_PINK1KI	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_07_Rab8b_-CCCP_PINK1KI	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_07_Rab8b_-CCCP_PINK1KI.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_07_Rab8b_-CCCP_PINK1KI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_04_Rab8a_CCCP_PINK1KI	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_04_Rab8a_CCCP_PINK1KI	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_04_Rab8a_CCCP_PINK1KI.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_04_Rab8a_CCCP_PINK1KI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction17-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction17-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction17-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction17-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_02_Rab13_CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_02_Rab13_CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_02_Rab13_CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_02_Rab13_CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
