source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
t1_48_260min_800ng_Run1.msf	t1_48_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_48_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_48_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_48_260min_800ng_Run1	t1_48_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_48_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_48_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_49_260min_800ng_Run1.msf	t1_49_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_49_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_49_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_49_260min_800ng_Run1	t1_49_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_49_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_49_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_51_260min_800ng_Run1.msf	t1_51_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_51_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_51_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_51_260min_800ng_Run1	t1_51_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_51_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_51_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_52_260min_800ng_Run1.msf	t1_52_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_52_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_52_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t1_52_260min_800ng_Run1	t1_52_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t1_52_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t1_52_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_32_260min_800ng_Run1.msf	t2_32_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_32_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_32_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_32_260min_800ng_Run1	t2_32_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_32_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_32_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_34_260min_800ng_Run1.msf	t2_34_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_34_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_34_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_34_260min_800ng_Run1	t2_34_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_34_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_34_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_36_260min_800ng_Run1.msf	t2_36_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_36_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_36_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_36_260min_800ng_Run1	t2_36_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_36_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_36_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_38_260min_800ng_Run1.msf	t2_38_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_38_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_38_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_38_260min_800ng_Run1	t2_38_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_38_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_38_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_40_260min_800ng_Run1.msf	t2_40_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_40_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_40_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_40_260min_800ng_Run1	t2_40_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_40_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_40_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_41_260min_800ng_Run1.msf	t2_41_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_41_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_41_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_41_260min_800ng_Run1	t2_41_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_41_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_41_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_42_260min_800ng_Run1.msf	t2_42_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_42_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_42_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_42_260min_800ng_Run1	t2_42_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_42_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_42_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_44_wholesample_260min_Run1.msf	t2_44_wholesample_260min_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_44_wholesample_260min_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_44_wholesample_260min_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t2_44_wholesample_260min_Run1	t2_44_wholesample_260min_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t2_44_wholesample_260min_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t2_44_wholesample_260min_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t3_19_260min_800ng_Run1.msf	t3_19_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t3_19_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t3_19_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t3_19_260min_800ng_Run1	t3_19_260min_800ng_Run1	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t3_19_260min_800ng_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t3_19_260min_800ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
t3_21_260min_800ng_Run1.msf	t3_21_260min_800ng_Run1.msf	soil metagenome	soil	not applicable	not available	Testing_long-term_up_to_4_weeks_RNAlater_preservation_of_field_collected_animal-microbe_symbioses_at_room_temperature_for_metaproteomic_analyses	soil	soil	7.6, 0.1	not available	not available	not available	soil microbiome	1	t3_21_260min_800ng_Run1.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	t3_21_260min_800ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
