source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min_1	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min_1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_2	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	2	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min_1	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min_1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-45_48min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-45_48min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-45_48min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-45_48min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-11	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	11	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-4	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	4	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-4.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-6	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	6	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-6.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-6.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-8	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	8	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-8.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-5_8min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-5_8min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-5_8min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-5_8min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-10	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	10	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-9	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	9	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-9.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-9.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-8	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	8	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-8.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-4	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	4	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-4.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-11	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	11	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-17_20min.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-13_16min.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-9	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	9	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-9.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-9.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-9_12min-3	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-9_12min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-9_12min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-9_12min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-37_40min_1	mus musculus	Testis	not applicable	not available	enrichment of phosphorylated protein	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-37_40min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-37_40min_1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-37_40min_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
