source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Udayan_H3255_EGF_Erlotinib_TiO2_F06	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	6	1	Udayan_H3255_EGF_Erlotinib_TiO2_F06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F7_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F7_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F7_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F7_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F1	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H1975_pST_BR3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F8_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F8_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F8_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F8_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR1_F4	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR1_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	H1975_pST_BR1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR1_F12	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR1_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	12	1	H1975_pST_BR1_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR1_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F9	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	9	1	H3255_pST_SILAC_R1_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F3	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	3	1	H1975_pST_BR2_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F4_a	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F4_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R1_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F4_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F08	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	8	1	Udayan_H3255_EGF_Erlotinib_TiO2_F08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F12_130605192359	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F12_130605192359	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H1975_pST_BR3_F12_130605192359.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F12_130605192359.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F5	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	5	1	H3255_pST_SILAC_R1_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R2_F9	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R2_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	9	1	H3255_pST_SILAC_R2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R2_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Harrys_20101126_H3255_3SILAC_Erlotinib_f11	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	11	1	Harrys_20101126_H3255_3SILAC_Erlotinib_f11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Harrys_20101126_H3255_3SILAC_Erlotinib_f11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F02	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	2	1	Udayan_H3255_EGF_Erlotinib_TiO2_F02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R2_F1	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R2_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	H3255_pST_SILAC_R2_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Udayan_H3255_EGF_Erlotinib_TiO2_F10	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	Udayan_H3255_EGF_Erlotinib_TiO2_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	10	1	Udayan_H3255_EGF_Erlotinib_TiO2_F10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/Udayan_H3255_EGF_Erlotinib_TiO2_F10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H3255_pST_SILAC_R1_F4	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H3255_pST_SILAC_R1_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	H3255_pST_SILAC_R1_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H3255_pST_SILAC_R1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR3_F3	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR3_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	3	1	H1975_pST_BR3_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR3_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F8	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	8	1	H1975_pST_BR2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F10	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	10	1	H1975_pST_BR2_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR2_F4	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR2_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	4	1	H1975_pST_BR2_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
H1975_pST_BR1_F6	homo sapiens	not available	not applicable	Lung adenocarcinoma	enrichment of phosphorylated protein	1	H1975_pST_BR1_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	7 ppm	20 ppm	32% NCE	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	6	1	H1975_pST_BR1_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001101/H1975_pST_BR1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
