source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-2-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	1	150702-YUAN-CSF_CB2-2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CZR1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	1	150702-YUAN-CSF_CZR1-2-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	2	150702-YUAN-CSF_CZR1-2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CB1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	1	150702-YUAN-CSF_CB1-X-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	2	150702-YUAN-CSF_CB1-X-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-2-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	2	150702-YUAN-CSF_CB2-2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CB1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	1	150702-YUAN-CSF_CB1-1-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	3	150702-YUAN-CSF_CB1-1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CB1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	1	150702-YUAN-CSF_CB1-1-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	150702-YUAN-CSF_CB1-1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CZR1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	1	150702-YUAN-CSF_CZR1-X-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	1	150702-YUAN-CSF_CZR1-X-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
SHAM2	Mus musculus	cerebrospinal fluid	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	2	150702-YUAN-CSF_SHAM2-2-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	2	150702-YUAN-CSF_SHAM2-2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	sham surgery
CZR2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	2	150702-YUAN-CSF_CZR2-X-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	3	150702-YUAN-CSF_CZR2-X-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
SHAM1	Mus musculus	cerebrospinal fluid	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	1	150702-YUAN-CSF_SHAM1-1-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	3	150702-YUAN-CSF_SHAM1-1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	sham surgery
SHAM1	Mus musculus	cerebrospinal fluid	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	1	150702-YUAN-CSF_SHAM1-2-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	2	150702-YUAN-CSF_SHAM1-2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	sham surgery
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-X-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	1	150702-YUAN-CSF_CB2-X-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
SHAM1	Mus musculus	cerebrospinal fluid	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	1	150702-YUAN-CSF_SHAM1-X-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	1	150702-YUAN-CSF_SHAM1-X-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	sham surgery
CZR2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	2	150702-YUAN-CSF_CZR2-X-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	1	150702-YUAN-CSF_CZR2-X-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CZR2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	2	150702-YUAN-CSF_CZR2-2-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	2	150702-YUAN-CSF_CZR2-2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
SHAM2	Mus musculus	cerebrospinal fluid	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	2	150702-YUAN-CSF_SHAM2-2-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	1	150702-YUAN-CSF_SHAM2-2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	sham surgery
CZR1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	1	150702-YUAN-CSF_CZR1-2-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	3	150702-YUAN-CSF_CZR1-2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-1-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	150702-YUAN-CSF_CB2-1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-X-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	2	150702-YUAN-CSF_CB2-X-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CZR1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	1	150702-YUAN-CSF_CZR1-2-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	1	150702-YUAN-CSF_CZR1-2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-X-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	3	150702-YUAN-CSF_CB2-X-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CZR2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	2	150702-YUAN-CSF_CZR2-2-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	3	150702-YUAN-CSF_CZR2-2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CB1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	1	150702-YUAN-CSF_CB1-2-1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	2	1	150702-YUAN-CSF_CB1-2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
CZR1	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	vehicle	1	150702-YUAN-CSF_CZR1-X-3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	3	3	150702-YUAN-CSF_CZR1-X-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	vehicle
CB2	Mus musculus	cerebrospinal fluid	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	Buyang Huanwu decoction	2	150702-YUAN-CSF_CB2-1-2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	2	150702-YUAN-CSF_CB2-1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	Buyang Huanwu decoction
