source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
PAD000033-2022-02-03-83-2	Homo sapiens	Blood serum	not available	not available	not available	11	study sample	blood serum	PAD000033-r00011-2022-02-03-83-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-03-1	Homo sapiens	Blood serum	not available	not available	not available	12	study sample	blood serum	PAD000033-r00012-2022-02-03-03-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-55-1	Homo sapiens	Blood serum	not available	not available	not available	13	study sample	blood serum	PAD000033-r00013-2022-02-03-55-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-78-2	Homo sapiens	Blood serum	not available	not available	not available	14	study sample	blood serum	PAD000033-r00014-2022-02-03-78-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-06-2	Homo sapiens	Blood serum	not available	not available	not available	15	study sample	blood serum	PAD000033-r00015-2022-02-03-06-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-03-2	Homo sapiens	Blood serum	not available	not available	not available	16	study sample	blood serum	PAD000033-r00016-2022-02-03-03-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-19-1	Homo sapiens	Blood serum	not available	not available	not available	17	study sample	blood serum	PAD000033-r00017-2022-02-03-19-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-CONTROL_SAMPLE_US_CS_AS_2-10	Homo sapiens	Blood serum	not available	not available	not available	18	study sample	blood serum	PAD000033-r00018-CONTROL_SAMPLE_US_CS_AS_2-10	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic_II; Inflammation_II; Neurology_II; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-15-2	Homo sapiens	Blood serum	not available	not available	not available	19	study sample	blood serum	PAD000033-r00019-2022-02-03-15-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-24-1	Homo sapiens	Blood serum	not available	not available	not available	20	study sample	blood serum	PAD000033-r00020-2022-02-03-24-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-22-1	Homo sapiens	Blood serum	not available	not available	not available	21	study sample	blood serum	PAD000033-r00021-2022-02-03-22-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-81-2	Homo sapiens	Blood serum	not available	not available	not available	22	study sample	blood serum	PAD000033-r00022-2022-02-03-81-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-81-1	Homo sapiens	Blood serum	not available	not available	not available	23	study sample	blood serum	PAD000033-r00023-2022-02-03-81-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-05-2	Homo sapiens	Blood serum	not available	not available	not available	24	study sample	blood serum	PAD000033-r00024-2022-02-03-05-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-15-1	Homo sapiens	Blood serum	not available	not available	not available	25	study sample	blood serum	PAD000033-r00025-2022-02-03-15-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-44-2	Homo sapiens	Blood serum	not available	not available	not available	26	study sample	blood serum	PAD000033-r00026-2022-02-03-44-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-02-1	Homo sapiens	Blood serum	not available	not available	not available	27	study sample	blood serum	PAD000033-r00027-2022-02-03-02-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-22-2	Homo sapiens	Blood serum	not available	not available	not available	28	study sample	blood serum	PAD000033-r00028-2022-02-03-22-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-25-2	Homo sapiens	Blood serum	not available	not available	not available	29	study sample	blood serum	PAD000033-r00029-2022-02-03-25-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-19-2	Homo sapiens	Blood serum	not available	not available	not available	30	study sample	blood serum	PAD000033-r00030-2022-02-03-19-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-83-1	Homo sapiens	Blood serum	not available	not available	not available	31	study sample	blood serum	PAD000033-r00031-2022-02-03-83-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-98-2	Homo sapiens	Blood serum	not available	not available	not available	32	study sample	blood serum	PAD000033-r00032-2022-02-03-98-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-43-1	Homo sapiens	Blood serum	not available	not available	not available	33	study sample	blood serum	PAD000033-r00033-2022-02-03-43-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-89-1	Homo sapiens	Blood serum	not available	not available	not available	34	study sample	blood serum	PAD000033-r00034-2022-02-03-89-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-49-2	Homo sapiens	Blood serum	not available	not available	not available	35	study sample	blood serum	PAD000033-r00035-2022-02-03-49-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-09-2	Homo sapiens	Blood serum	not available	not available	not available	36	study sample	blood serum	PAD000033-r00036-2022-02-03-09-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-98-1	Homo sapiens	Blood serum	not available	not available	not available	37	study sample	blood serum	PAD000033-r00037-2022-02-03-98-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-02-2	Homo sapiens	Blood serum	not available	not available	not available	38	study sample	blood serum	PAD000033-r00038-2022-02-03-02-2	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-78-1	Homo sapiens	Blood serum	not available	not available	not available	39	study sample	blood serum	PAD000033-r00039-2022-02-03-78-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000033-2022-02-03-52-1	Homo sapiens	Blood serum	not available	not available	not available	40	study sample	blood serum	PAD000033-r00040-2022-02-03-52-1	protein expression profiling by antibody array	1	20211799_Tsai_NPX_2022-03-14.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PAD000033/20211799_Tsai_NPX_2022-03-14.npx.csv	Olink Target 96	NPX	20211799_SS220168	Intensity	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	intensity normalized	B13805	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
