source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08066_CD4_Fraction_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	2	1	qExHF01_08066_CD4_Fraction_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08067_CD4_Fraction_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	3	1	qExHF01_08067_CD4_Fraction_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08068_CD4_Fraction_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	4	1	qExHF01_08068_CD4_Fraction_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08069_CD4_Fraction_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	5	1	qExHF01_08069_CD4_Fraction_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08070_CD4_Fraction_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	6	1	qExHF01_08070_CD4_Fraction_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08071_CD4_Fraction_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	7	1	qExHF01_08071_CD4_Fraction_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08072_CD4_Fraction_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	8	1	qExHF01_08072_CD4_Fraction_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08073_CD4_Fraction_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	9	1	qExHF01_08073_CD4_Fraction_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08074_CD4_Fraction_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	10	1	qExHF01_08074_CD4_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08075_CD4_Fraction_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	11	1	qExHF01_08075_CD4_Fraction_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD4	Mus musculus	spleen	CD4-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08076_CD4_Fraction_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	12	1	qExHF01_08076_CD4_Fraction_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD4-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08052_CD8_Fraction_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	1	1	qExHF01_08052_CD8_Fraction_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08053_CD8_Fraction_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	2	1	qExHF01_08053_CD8_Fraction_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08054_CD8_Fraction_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	3	1	qExHF01_08054_CD8_Fraction_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08055_CD8_Fraction_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	4	1	qExHF01_08055_CD8_Fraction_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08056_CD8_Fraction_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	5	1	qExHF01_08056_CD8_Fraction_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08057_CD8_Fraction_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	6	1	qExHF01_08057_CD8_Fraction_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08058_CD8_Fraction_7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	7	1	qExHF01_08058_CD8_Fraction_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08059_CD8_Fraction_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	8	1	qExHF01_08059_CD8_Fraction_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08060_CD8_Fraction_9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	9	1	qExHF01_08060_CD8_Fraction_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08061_CD8_Fraction_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	10	1	qExHF01_08061_CD8_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08062_CD8_Fraction_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	11	1	qExHF01_08062_CD8_Fraction_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
CD8	Mus musculus	spleen	CD8-positive, alpha-beta T cell	normal	adult	C57BL/6	10W	female	cell	pooled	run qExHF01_08063_CD8_Fraction_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	27 NCE	10 ppm	0.02 Da	12	1	qExHF01_08063_CD8_Fraction_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	CD8-positive, alpha-beta T cell
