source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[sampling site]	characteristics[material type]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[individual]	characteristics[sample type]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[bait]
HeLaKyoto_parental_SILACH_CCT3set_rep2	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	2	3099L_HeLaH_2	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0003099L_HeLaH_2.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_CCT3-NFLAP_SILACL_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto CCT3-NFLAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	3	3099L_HeLaH_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0003099L_HeLaH_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	CCT3
HeLaKyoto_parental_SILACH_CCT3set_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	3	3099L_HeLaH_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0003099L_HeLaH_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACH_rep1	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	1	6158H_HeLaL_1	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_1.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACL_KIAA1430set_rep1	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	1	6158H_HeLaL_1	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_1.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACH_rep2	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	2	6158H_HeLaL_2	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_2.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACL_KIAA1430set_rep2	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	2	6158H_HeLaL_2	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_2.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACH_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	3	6158H_HeLaL_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACL_KIAA1430set_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	3	6158H_HeLaL_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158H_HeLaL_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACL_rep1	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	1	6158L_HeLaH_1	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_1.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACH_KIAA1430set_rep1	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	1	6158L_HeLaH_1	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_1.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACL_rep2	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	2	6158L_HeLaH_2	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_2.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACH_KIAA1430set_rep2	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	2	6158L_HeLaH_2	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_2.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
HeLaKyoto_KIAA1430-LAP_SILACL_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto KIAA1430-LAP	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	study sample	15 minute	3	6158L_HeLaH_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC light	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	KIAA1430
HeLaKyoto_parental_SILACH_KIAA1430set_rep3	Homo sapiens	not applicable	epithelial cell	HeLa Kyoto	CVCL_1922	HeLa Kyoto	endocervical adenocarcinoma	uterine cervix	cell line	female	30Y6M	adult	African American	not available	control sample	15 minute	3	6158L_HeLaH_3	proteomic profiling by mass spectrometry	20150331_Orbi2_MaHe_MCP_ky_0006158L_HeLaH_3.raw	NT=LTQ Orbitrap;AC=MS:1000449	SILAC heavy	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	40 NCE	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	0.5 Da	not applicable	1	1	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	not applicable
