source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20180411_AB_CD01_Run2_12ug_MudPIT_QE1_03	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180411_AB_CD01_Run2_12ug_MudPIT_QE1_04	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180411_AB_CD01_Run2_12ug_MudPIT_QE1_05	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180411_AB_CD01_Run2_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CE01_Run2_12ug_MudPIT_QE1_02	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CE01_Run2_12ug_MudPIT_QE1_03	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CE01_Run2_12ug_MudPIT_QE1_04	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CE01_Run2_12ug_MudPIT_QE1_05	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CE01_Run2_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CF01_Run1_12ug_MudPIT_QE1_02	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CF01_Run1_12ug_MudPIT_QE1_03	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CF01_Run1_12ug_MudPIT_QE1_04	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180412_AB_CF01_Run1_12ug_MudPIT_QE1_05	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180412_AB_CF01_Run1_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CG01_Run2_12ug_MudPIT_QE1_02	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CG01_Run2_12ug_MudPIT_QE1_03	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CG01_Run2_12ug_MudPIT_QE1_04	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CG01_Run2_12ug_MudPIT_QE1_05	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CG01_Run2_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CI01_Run1_12ug_MudPIT_QE1_02	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CI01_Run1_12ug_MudPIT_QE1_03	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CI01_Run1_12ug_MudPIT_QE1_04	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180413_AB_CI01_Run1_12ug_MudPIT_QE1_05	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180413_AB_CI01_Run1_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CM01_Run1_12ug_MudPIT_QE1_02	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CM01_Run1_12ug_MudPIT_QE1_03	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CM01_Run1_12ug_MudPIT_QE1_04	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CM01_Run1_12ug_MudPIT_QE1_05	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CM01_Run1_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CP01_Run1_12ug_MudPIT_QE1_02	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CP01_Run1_12ug_MudPIT_QE1_03	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CP01_Run1_12ug_MudPIT_QE1_04	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180414_AB_CP01_Run1_12ug_MudPIT_QE1_05	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180414_AB_CP01_Run1_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CR01_Run1_12ug_MudPIT_QE1_02	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CR01_Run1_12ug_MudPIT_QE1_03	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CR01_Run1_12ug_MudPIT_QE1_04	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CR01_Run1_12ug_MudPIT_QE1_05	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_05	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CR01_Run1_12ug_MudPIT_QE1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CS01_Run1_12ug_MudPIT_QE1_02	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_02	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CS01_Run1_12ug_MudPIT_QE1_03	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_03	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20180415_AB_CS01_Run1_12ug_MudPIT_QE1_04	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_04	human gut metagenome	feces	not applicable	not available	Metaproteomics_of_mouse_gut_microbiomes_under_different_kinds_of_obesity_and_morphine_treatment	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	20180415_AB_CS01_Run1_12ug_MudPIT_QE1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
