source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE2_PharmacoDB_TP_Sample_30C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_30C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_30C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_30C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_11A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_11A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_11A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_11A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_23A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_23A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_23A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_23A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_39C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_39C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_39C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_39C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_19C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_19C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_19C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_19C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_48A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_48A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_48A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_48A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_22A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_22A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_22A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_22A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_6B	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_6B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_6B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_6B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_PharmacoDB_TP_Sample_25A	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE2_PharmacoDB_TP_Sample_25A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE2_PharmacoDB_TP_Sample_25A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE2_PharmacoDB_TP_Sample_25A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Pharmaco_PP_Sample_2C	homo sapiens	Epithelial cell	not applicable	hepatocellular carcinoma	enrichment of phosphorylated protein	1	QE1_Pharmaco_PP_Sample_2C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE1_Pharmaco_PP_Sample_2C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD019591/QE1_Pharmaco_PP_Sample_2C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
