source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Yeast_Global_SILAC_Light_MMS_Frac03	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Light_MMS_Frac03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	3	1	Yeast_Global_SILAC_Light_MMS_Frac03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Light_MMS_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Light_MMS_Frac06	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Light_MMS_Frac06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	6	1	Yeast_Global_SILAC_Light_MMS_Frac06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Light_MMS_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Heavy_MMS_Frac04	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Heavy_MMS_Frac04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	4	1	Yeast_Global_SILAC_Heavy_MMS_Frac04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Heavy_MMS_Frac04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Light_MMS_Frac10	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Light_MMS_Frac10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	10	1	Yeast_PO4_SILAC_Light_MMS_Frac10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Light_MMS_Frac10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Heavy_MMS_Frac07	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Heavy_MMS_Frac07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	7	1	Yeast_Global_SILAC_Heavy_MMS_Frac07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Heavy_MMS_Frac07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Heavy_MMS_Frac05	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Heavy_MMS_Frac05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	5	1	Yeast_Global_SILAC_Heavy_MMS_Frac05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Heavy_MMS_Frac05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Light_MMS_Frac08	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Light_MMS_Frac08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	8	1	Yeast_PO4_SILAC_Light_MMS_Frac08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Light_MMS_Frac08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Heavy_MMS_Frac11	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Heavy_MMS_Frac11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	11	1	Yeast_Global_SILAC_Heavy_MMS_Frac11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Heavy_MMS_Frac11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac05	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	5	1	Yeast_PO4_SILAC_Heavy_MMS_Frac05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Light_MMS_Frac03	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Light_MMS_Frac03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	3	1	Yeast_PO4_SILAC_Light_MMS_Frac03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Light_MMS_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac06	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	6	1	Yeast_PO4_SILAC_Heavy_MMS_Frac06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac07	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	7	1	Yeast_PO4_SILAC_Heavy_MMS_Frac07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac09	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	9	1	Yeast_PO4_SILAC_Heavy_MMS_Frac09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_Global_SILAC_Light_MMS_Frac09	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_Global_SILAC_Light_MMS_Frac09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	9	1	Yeast_Global_SILAC_Light_MMS_Frac09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_Global_SILAC_Light_MMS_Frac09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac08	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	8	1	Yeast_PO4_SILAC_Heavy_MMS_Frac08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac12	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	12	1	Yeast_PO4_SILAC_Heavy_MMS_Frac12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Heavy_MMS_Frac11	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Heavy_MMS_Frac11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	11	1	Yeast_PO4_SILAC_Heavy_MMS_Frac11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Heavy_MMS_Frac11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Light_MMS_Frac07	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Light_MMS_Frac07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	7	1	Yeast_PO4_SILAC_Light_MMS_Frac07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Light_MMS_Frac07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Yeast_PO4_SILAC_Light_MMS_Frac05	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	Yeast_PO4_SILAC_Light_MMS_Frac05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.5 Da	high-ph reversed-phase chromatography (hphrp)	iodoacetamide (iaa)	5	1	Yeast_PO4_SILAC_Light_MMS_Frac05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002344/Yeast_PO4_SILAC_Light_MMS_Frac05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
