source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
iTRAQ_B1_OGE_006	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_006	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_006.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_006.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_005	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_005	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_005.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_005.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A1_OGE_001	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A1_OGE_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A1_OGE_001.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A1_OGE_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B2_OGE_004	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B2_OGE_004	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B2_OGE_004.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B2_OGE_004.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A2_OGE_001	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A2_OGE_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A2_OGE_001.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A2_OGE_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_001	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_001.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_008	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_008.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_008.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A1_OGE_003	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A1_OGE_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A1_OGE_003.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A1_OGE_003.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A2_OGE_004	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A2_OGE_004	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A2_OGE_004.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A2_OGE_004.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_002	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_002.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_002.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_C1_OGE_004	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_C1_OGE_004	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_C1_OGE_004.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_C1_OGE_004.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A1_OGE_006	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A1_OGE_006	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A1_OGE_006.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A1_OGE_006.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A2_OGE_006	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A2_OGE_006	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A2_OGE_006.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A2_OGE_006.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_003	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_003.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_003.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A2_OGE_008	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A2_OGE_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A2_OGE_008.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A2_OGE_008.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_C2_OGE_002	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_C2_OGE_002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_C2_OGE_002.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_C2_OGE_002.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_A1_OGE_008	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_A1_OGE_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_A1_OGE_008.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_A1_OGE_008.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_C1_OGE_003	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_C1_OGE_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_C1_OGE_003.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_C1_OGE_003.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_C2_OGE_001	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_C2_OGE_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_C2_OGE_001.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_C2_OGE_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B1_OGE_007	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B1_OGE_007	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B1_OGE_007.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B1_OGE_007.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_B2_OGE_002	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_B2_OGE_002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_B2_OGE_002.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_B2_OGE_002.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
iTRAQ_C1_OGE_001	mus musculus	blood	4T1 cell	breast cancer	enrichment	4 weeks	4T1	CVCL_0125	4T1	female	1	iTRAQ_C1_OGE_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2 Da	0.02 Da	40% NCE	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	iTRAQ_C1_OGE_001.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003136/iTRAQ_C1_OGE_001.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
