source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
RF1_140min_600ng_Run1.msf	RF1_140min_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF1_140min_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF1_140min_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF2_140_600ng_Run1.msf	RF2_140_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF2_140_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF2_140_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF3_140min_600ng_Run1.msf	RF3_140min_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF3_140min_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF3_140min_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF3_140min_600ng_Run1	RF3_140min_600ng_Run1	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF3_140min_600ng_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF3_140min_600ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF4_140min_600ng_Run1.msf	RF4_140min_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF4_140min_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF4_140min_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF4_140min_600ng_Run1	RF4_140min_600ng_Run1	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF4_140min_600ng_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF4_140min_600ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF5_140min_600ng_Run1.msf	RF5_140min_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF5_140min_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF5_140min_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF5_140min_600ng_Run1	RF5_140min_600ng_Run1	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF5_140min_600ng_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF5_140min_600ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF6_140_600ng_Run1.msf	RF6_140_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF6_140_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF6_140_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF6_140_600ng_Run1	RF6_140_600ng_Run1	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF6_140_600ng_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF6_140_600ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF8_140min_600ng_Run1.msf	RF8_140min_600ng_Run1.msf	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF8_140min_600ng_Run1.msf	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF8_140min_600ng_Run1.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
RF8_140min_600ng_Run1	RF8_140min_600ng_Run1	Mouse gut metagenome	feces	not applicable	not available	Comparison_of_preservation_and_storage_methods_for_metaproteomics_of_intestinal_microbiome_samples	feces	feces	7.6, 0.1	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	RF8_140min_600ng_Run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	RF8_140min_600ng_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
