source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[state]	factor value[condition]	factor value[enrichment process]
F1: 128C, Sample, 01_P37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128C;AC=PRIDE:0000521	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	basal	none
F1: 129C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT129C;AC=PRIDE:0000523	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 130C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT130C;AC=PRIDE:0000525	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 131C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131C;AC=PRIDE:0000528	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 132C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT132C;AC=PRIDE:0000530	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 133C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT133C;AC=PRIDE:0000532	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 134C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT134C;AC=PRIDE:0000534	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 127N, Sample, 04_P44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	heat-shock	none
F1: 128N, Sample, 04_P44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	heat-shock	none
F1: 129N, Sample, 04_P44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT129N;AC=PRIDE:0000524	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	heat-shock	none
F1: 130N, Sample, 05_S44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT130N;AC=PRIDE:0000526	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	heat-shock	none
F1: 131N, Sample, 05_S44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131N;AC=PRIDE:0000529	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	heat-shock	none
F1: 132N, Sample, 05_S44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT132N;AC=PRIDE:0000531	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	heat-shock	none
F1: 133N, Sample, 06_Q44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT133N;AC=PRIDE:0000533	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	heat-shock	none
F1: 134N, Sample, 06_Q44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT134N;AC=PRIDE:0000535	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	heat-shock	none
F1: 135N, Sample, 06_Q44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT135N;AC=PRIDE:0000536	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	17	1	Ref_1002-17_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	heat-shock	none
F1: 126, Sample, 01_P37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT126;AC=PRIDE:0000516	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	basal	none
F1: 127C, Sample, 01_P37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127C;AC=PRIDE:0000518	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	basal	none
F1: 128C, Sample, 01_P37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128C;AC=PRIDE:0000521	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	basal	none
F1: 129C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT129C;AC=PRIDE:0000523	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 130C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT130C;AC=PRIDE:0000525	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 131C, Sample, 02_S37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131C;AC=PRIDE:0000528	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	senescent	basal	none
F1: 132C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT132C;AC=PRIDE:0000530	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 133C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT133C;AC=PRIDE:0000532	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 134C, Sample, 03_Q37	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	3	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT134C;AC=PRIDE:0000534	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	quiescent	basal	none
F1: 127N, Sample, 04_P44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	1	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	heat-shock	none
F1: 128N, Sample, 04_P44	Homo sapiens	lung	normal	fibroblast	IMR-90	CVCL_0347	cell	not available	not available	female	fetal	2	run-1_fraction-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	18	1	Ref_1002-18_FAIMS_RTS_MS3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	proliferating	heat-shock	none
