source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[exposure duration]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[exposure duration]	factor value[genotype]
U2OS-shUb-HA-Ub(K48R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K48R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_3	proteomic profiling by mass spectrometry	3	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K48R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_4	proteomic profiling by mass spectrometry	4	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_48h_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K48R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_1	proteomic profiling by mass spectrometry	1	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K48R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K48R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K48R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_4	proteomic profiling by mass spectrometry	4	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K48_72h_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K48R)
U2OS-shUb-HA-Ub(K63R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_1	proteomic profiling by mass spectrometry	1	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_3	proteomic profiling by mass spectrometry	3	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_4	proteomic profiling by mass spectrometry	4	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_48h_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_1	proteomic profiling by mass spectrometry	1	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K63R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K63R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_3	proteomic profiling by mass spectrometry	3	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K63_72h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K63R)
U2OS-shUb-HA-Ub(K6R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_1	proteomic profiling by mass spectrometry	1	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_3	proteomic profiling by mass spectrometry	3	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX48h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	48 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_4	proteomic profiling by mass spectrometry	4	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_48h_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	48 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_1	proteomic profiling by mass spectrometry	1	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_2	proteomic profiling by mass spectrometry	2	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K6R)
U2OS-shUb-HA-Ub(K6R)_DOX72h	Homo sapiens	tibia	not available	1	osteosarcoma	cell line	doxycycline	sample enrichment	European ancestry	15Y	female	U2OS	CVCL_0042	U2OS	Dulbecco's Modified Eagle Medium	72 hour	HA-Ub(K6R)	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_3	proteomic profiling by mass spectrometry	3	20231122_AST2_EVO6_JJW_Ub_60SPD_200ng_IP_K6_72h_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25% NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	380.4	980.7	2	72 hour	HA-Ub(K6R)
