source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[amount of starting material]
20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_30minGrad	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_30minGrad	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_30minGrad.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	2	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	500 pg
20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_8h_PEG_1x10e-3	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_8h_PEG_1x10e-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_8h_PEG_1x10e-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_50pg_30minGrad	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_50pg_30minGrad	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_50pg_30minGrad.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	50 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_1ng_04	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_1ng_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	4	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_1ng_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	1 ng
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_2c5ng_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_2c5ng_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	3	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_2c5ng_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2.5 ng
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250g_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250g_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250g_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5 ng
20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_16h_0c1per_FA_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_16h_0c1per_FA_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_16h_0c1per_FA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_60minGrad	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_60minGrad	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201209_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_60minGrad.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	3	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	3	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_500pg_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	500 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_04	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	4	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_250pg_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_04	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	4	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5 ng
20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_24h_PEG_1x10e-3	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_24h_PEG_1x10e-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20201211_Exploris_RSLC9_PepSep_PHF-3um_HelaPi_250pg_24h_PEG_1x10e-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	250 pg
20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	2	20201207_Exploris_RSLC9_PepSep_PHF-3um_HeLaPi_5ng_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	5 ng
