source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[spiked compound]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p1_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p1_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	29	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	300	500
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p2_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p2_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	30	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	500	700
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p3_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p3_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	31	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	700	900
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p4_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg55_p4_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	32	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	900	1100
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p1_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p1_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	33	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	300	500
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p2_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p2_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	34	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	500	700
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p3_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg60_p3_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	35	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	700	900
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p1_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p1_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	36	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	300	500
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p2_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p2_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	37	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	500	700
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p3_rep01	proteomic profiling by mass spectrometry	1	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg65_p3_rep01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	38	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	700	900
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p1_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p1_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	300	500
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p2_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p2_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	500	700
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p3_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p3_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	700	900
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p4_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg20_p4_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	900	1100
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p1_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p1_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	5	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	300	500
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p2_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p2_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	6	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	500	700
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p3_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p3_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	7	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	700	900
PL02pool	Homo sapiens	cerebrospinal fluid	not applicable	1	pooled	not available	CT=mixture;QY=40 fmol;CN=isotope-labeled heavy peptide standards	not available	not applicable	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p4_rep02	proteomic profiling by mass spectrometry	2	20241128_OA2_Evo08_JaBa_SA_IO28_B844_494E5_040fm_PL02pool_JPTDIA10_Fneg25_p4_rep02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	8	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	2 ppm	4 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(1);AC=UNIMOD:695;TA=L;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2	900	1100
