source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E2166_B_05_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_05_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_05_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_05_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_09_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_09_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_09_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_09_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_01_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_01_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_01_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_01_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_B_02_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_B_02_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_B_02_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_B_02_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_12_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_12_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_12_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_12_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_08_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_08_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_08_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_08_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_01_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_01_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_01_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_01_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_10_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_10_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_10_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_10_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_A_06_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_A_06_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_A_06_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_A_06_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_03_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_03_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_03_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_03_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_11_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_11_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_11_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_11_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_12_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_12_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_12_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_12_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_06_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_06_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_06_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_06_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_11_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_11_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_11_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_11_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_B_01_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_B_01_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_B_01_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_B_01_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_10_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_10_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_10_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_10_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_A_11_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_A_11_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_A_11_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_A_11_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_03_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_03_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_03_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_03_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_A_02_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_A_02_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_A_02_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_A_02_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_A_11_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_A_11_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_A_11_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_A_11_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_A_03_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_A_03_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_A_03_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_A_03_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_B_03_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_B_03_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_B_03_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_B_03_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_02_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_02_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_02_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_02_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_A_10_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_A_10_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_A_10_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_A_10_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_A_07_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_A_07_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_A_07_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_A_07_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_B_08_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_B_08_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_B_08_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_B_08_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_B_05_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_B_05_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_B_05_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_B_05_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2166_A_02_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2166_A_02_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2166_A_02_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2166_A_02_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_05_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_05_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_05_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_05_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_B_06_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_B_06_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_B_06_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_B_06_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2167_A_04_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2167_A_04_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2167_A_04_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2167_A_04_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
E2168_A_02_a	mus musculus	serum	not applicable	not available	enrichment of phosphorylated protein	1	E2168_A_02_a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	E2168_A_02_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002665/E2168_A_02_a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
