source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[mock community]	characteristics[mock community composition]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[ms2 mass analyzer]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[expected organism list]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
d5_48_hTT_II	d5_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d5_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d5_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d7_48_hTT_II	d7_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d7_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d7_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d9_48_hTT_II	d9_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d9_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d9_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d4_12_hTT_II	d4_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d4_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d4_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d6_12_hTT_II	d6_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d6_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d6_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d10_12_hTT_II	d10_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d10_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d10_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d11_12_hTT_II	d11_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d11_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d11_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d12_12_hTT_II	d12_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d12_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d12_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d14_12_hTT_II	d14_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d14_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d14_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d14_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d15_12_hTT_II	d15_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d15_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d15_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d15_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d7_24_hTT_I	d7_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d7_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d7_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d9_24_hTT_I	d9_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d9_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d9_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d10_48_hTT_II	d10_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d10_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d10_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d11_48_hTT_II	d11_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d11_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d11_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d13_48_hTT_II	d13_48_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d13_48_hTT_II	proteomic profiling by mass spectrometry	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d13_48_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d8_12_hTT_I	d8_12_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d8_12_hTT_I	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d8_12_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d9_12_hTT_I	d9_12_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d9_12_hTT_I	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d9_12_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d11_12_hTT_I	d11_12_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d11_12_hTT_I	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d11_12_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d4_12_hTT_I	d4_12_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d4_12_hTT_I	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d4_12_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d3_12_hTT_II	d3_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d3_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d3_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d3_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d7_12_hTT_II	d7_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d7_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d7_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d4_24_hTT_I	d4_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d4_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d4_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d4_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d5_24_hTT_I	d5_24_hTT_I	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d5_24_hTT_I	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d5_24_hTT_I.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
d8_12_hTT_II	d8_12_hTT_II	metagenome	not applicable	not applicable	not applicable	gut microbiome	not applicable	not applicable	SIHUMIx_bioreactor_metaproteomics	gut microbiome	SIHUMIx	eight-member simplified human intestinal microbiota	1	d8_12_hTT_II	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1000422	not available	10 ppm	0.02 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	d8_12_hTT_II.raw	v1.1.0	Anaerostipes caccae;Bacteroides thetaiotaomicron;Bifidobacterium longum;Blautia producta;Clostridium butyricum;Escherichia coli;Erysipelatoclostridium ramosum;Lactobacillus plantarum	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
