source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
RatLiver_FASP_IMAC_0620run5mg_29to30_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_29to30_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_29to30_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_29to30_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0620run5mg_45to46_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_45to46_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_45to46_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_45to46_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0620run5mg_39to40_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_39to40_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_39to40_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_39to40_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0620run5mg_35to36_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_35to36_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_35to36_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_35to36_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0411run_25to28_90min_2-15and15-30_041513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0411run_25to28_90min_2-15and15-30_041513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0411run_25to28_90min_2-15and15-30_041513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0411run_25to28_90min_2-15and15-30_041513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0620run5mg_47to48_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_47to48_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_47to48_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_47to48_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0620run5mg_43to44_90min_5cm_062513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0620run5mg_43to44_90min_5cm_062513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0620run5mg_43to44_90min_5cm_062513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0620run5mg_43to44_90min_5cm_062513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0411run_31and32_90min_2-15and15-30_041513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0411run_31and32_90min_2-15and15-30_041513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0411run_31and32_90min_2-15and15-30_041513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0411run_31and32_90min_2-15and15-30_041513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0411run_41and42_90min_2-15and15-30_041513	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0411run_41and42_90min_2-15and15-30_041513	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0411run_41and42_90min_2-15and15-30_041513.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0411run_41and42_90min_2-15and15-30_041513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
RatLiver_FASP_IMAC_0510run5mg_41and42_90min_051313	rattus rattus	liver	not applicable	not available	enrichment of phosphorylated protein	1	RatLiver_FASP_IMAC_0510run5mg_41and42_90min_051313	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	hydrophilic interaction chromatography (hilic)	1	1	RatLiver_FASP_IMAC_0510run5mg_41and42_90min_051313.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001372/RatLiver_FASP_IMAC_0510run5mg_41and42_90min_051313.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
