source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[carbon nitrogen ratio]	factor value[dilution rate]	factor value[experiment subset]	factor value[glucose concentration]	factor value[limiting nutrient]	factor value[nitrogen source concentration]	factor value[nitrogen source]
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_14-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	14	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_13-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	15	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_12-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	16	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_11-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	17	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_10-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	18	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_09-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	19	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S1	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_08-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_180801_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	20	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.05 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180813_43-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180813_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	1	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180813_42-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180813_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	2	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_27-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	3	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_26-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	4	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_25-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	5	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_22-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	6	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_21-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	7	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_20-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	8	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_19-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	9	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_18-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	10	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_17-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	11	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_16-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	12	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_15-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	13	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_14-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	14	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_13-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	15	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_12-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	16	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_11-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	17	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_10-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	18	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_09-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	19	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S9	Saccharomyces cerevisiae	not available	3	not pooled	cell	Fusion_180801_08-TMT127C	proteomic profiling by mass spectrometry	1	Fusion_180801_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127C	20	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.1 /h	GR, NM	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180813_43-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180813_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	1	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180813_42-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180813_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	2	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_27-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180801_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	3	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_26-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180801_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	4	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_25-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180801_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	5	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_22-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180801_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	6	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
S13	Saccharomyces cerevisiae	not available	1	not pooled	cell	Fusion_180801_21-TMT128N	proteomic profiling by mass spectrometry	1	Fusion_180801_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT128N	7	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.6 Da	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	30	0.18 /h	GR	7.5 g/L	N	0.5 g/L	NH4
