source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
18O_30min_B_2	Homo sapiens	Permanent cell line cell	not applicable	not available	2	18O_30min_B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_30min_B_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_30min_B_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_240min_B_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_240min_B_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_240min_B_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_240min_B_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
5_min_M_b_Elite_HCD	Homo sapiens	Permanent cell line cell	not applicable	not available	1	5_min_M_b_Elite_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	5_min_M_b_Elite_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/5_min_M_b_Elite_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_15min_A_2	Homo sapiens	Permanent cell line cell	not applicable	not available	2	18O_15min_A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_15min_A_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_15min_A_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
5_min_M_a_QE	Homo sapiens	Permanent cell line cell	not applicable	not available	1	5_min_M_a_QE	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	5_min_M_a_QE.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/5_min_M_a_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_5min_C_2	Homo sapiens	Permanent cell line cell	not applicable	not available	2	18O_5min_C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_5min_C_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_5min_C_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_120min_A_2b	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_120min_A_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_120min_A_2b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_120min_A_2b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
10_min_G_b_Elite_HCD	Homo sapiens	Permanent cell line cell	not applicable	not available	1	10_min_G_b_Elite_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	10_min_G_b_Elite_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/10_min_G_b_Elite_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_240min_A_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_240min_A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_240min_A_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_240min_A_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
5_min_G_b_Elite_HCD	Homo sapiens	Permanent cell line cell	not applicable	not available	1	5_min_G_b_Elite_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	5_min_G_b_Elite_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/5_min_G_b_Elite_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20_min_G_a_Elite	Homo sapiens	Permanent cell line cell	not applicable	not available	1	20_min_G_a_Elite	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20_min_G_a_Elite.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/20_min_G_a_Elite.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_5min_A_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_5min_A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_5min_A_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_5min_A_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_15min_A_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_15min_A_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_15min_A_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_15min_A_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_15min_C_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_15min_C_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_15min_C_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_15min_C_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
80_min_G_b_Elite	Homo sapiens	Permanent cell line cell	not applicable	not available	1	80_min_G_b_Elite	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	80_min_G_b_Elite.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/80_min_G_b_Elite.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
160_min_M_a_QE	Homo sapiens	Permanent cell line cell	not applicable	not available	1	160_min_M_a_QE	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	160_min_M_a_QE.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/160_min_M_a_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
0_min_G_a_QE_3	Homo sapiens	Permanent cell line cell	not applicable	not available	3	0_min_G_a_QE_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0_min_G_a_QE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/0_min_G_a_QE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_240min_A_2	Homo sapiens	Permanent cell line cell	not applicable	not available	2	18O_240min_A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_240min_A_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_240min_A_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_60min_B_1b	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_60min_B_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_60min_B_1b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_60min_B_1b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_15min_A_2b	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_15min_A_2b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_15min_A_2b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_15min_A_2b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
0_min_M_a_Elite	Homo sapiens	Permanent cell line cell	not applicable	not available	1	0_min_M_a_Elite	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0_min_M_a_Elite.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/0_min_M_a_Elite.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_5min_B_1b	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_5min_B_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_5min_B_1b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_5min_B_1b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
40_min_M_b_Elite	Homo sapiens	Permanent cell line cell	not applicable	not available	1	40_min_M_b_Elite	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	40_min_M_b_Elite.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/40_min_M_b_Elite.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
10_min_G_a_QE	Homo sapiens	Permanent cell line cell	not applicable	not available	1	10_min_G_a_QE	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	10_min_G_a_QE.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/10_min_G_a_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
18O_30min_B_1	Homo sapiens	Permanent cell line cell	not applicable	not available	1	18O_30min_B_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	18O_30min_B_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/18O_30min_B_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
80_min_G_b_Elite_HCD	Homo sapiens	Permanent cell line cell	not applicable	not available	1	80_min_G_b_Elite_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	80_min_G_b_Elite_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/80_min_G_b_Elite_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
160_min_G_b_Elite_HCD	Homo sapiens	Permanent cell line cell	not applicable	not available	1	160_min_G_b_Elite_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	160_min_G_b_Elite_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000680/160_min_G_b_Elite_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
