source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
hSOD1_G93A_1	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	1	22082018_Astrocytes_TMT_Fr3_5ug-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	1	22082018_Astrocytes_TMT_Fr3_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_2	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	2	22082018_Astrocytes_TMT_Fr3_5ug-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	1	22082018_Astrocytes_TMT_Fr3_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_3	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	3	22082018_Astrocytes_TMT_Fr3_5ug-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	1	22082018_Astrocytes_TMT_Fr3_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_WT_1	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	1	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_2	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_3	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	3	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_G93A_1	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	1	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_2	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_3	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	3	22082018_Astrocytes_TMT_Fr3_5ug_ExcList-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	3	2	22082018_Astrocytes_TMT_Fr3_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_WT_1	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	1	22082018_Astrocytes_TMT_Fr4_5ug-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_2	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	2	22082018_Astrocytes_TMT_Fr4_5ug-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_3	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	3	22082018_Astrocytes_TMT_Fr4_5ug-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_G93A_1	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	1	22082018_Astrocytes_TMT_Fr4_5ug-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_2	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	2	22082018_Astrocytes_TMT_Fr4_5ug-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_3	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	3	22082018_Astrocytes_TMT_Fr4_5ug-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	1	22082018_Astrocytes_TMT_Fr4_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_WT_1	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	1	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_2	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_3	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	3	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_G93A_1	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	1	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_2	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_3	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	3	22082018_Astrocytes_TMT_Fr4_5ug_ExcList-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	4	2	22082018_Astrocytes_TMT_Fr4_5ug_ExcList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_WT_1	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	1	22082018_Astrocytes_TMT_Fr5_5ug-TMT126	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_2	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	2	22082018_Astrocytes_TMT_Fr5_5ug-TMT127	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT127	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_WT_3	Mus musculus	spinal cord	astrocyte	cell	normal	neonate	not available	B6SJL	hSOD1(WT)	3	22082018_Astrocytes_TMT_Fr5_5ug-TMT128	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT128	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(WT)
hSOD1_G93A_1	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	1	22082018_Astrocytes_TMT_Fr5_5ug-TMT129	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT129	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_2	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	2	22082018_Astrocytes_TMT_Fr5_5ug-TMT130	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT130	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
hSOD1_G93A_3	Mus musculus	spinal cord	astrocyte	cell	amyotrophic lateral sclerosis	neonate	not available	B6SJL	hSOD1(G93A)	3	22082018_Astrocytes_TMT_Fr5_5ug-TMT131	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	5	1	22082018_Astrocytes_TMT_Fr5_5ug.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	hSOD1(G93A)
