source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_114m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GF75_507m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_114m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.mzid_211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_2ug_DeepDOM_st2_PC004_GFF_507m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_1000m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GF75_350m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.mzid_211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	Acyrthosiphon pisum	Photosynthetic cell	not applicable	Disease free	Microbial_Metaproteome_from_the_Western_Atlantic_Ocean_DeepDOM_KN210-04_Expedition	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	1	1	211221_2D_3ug_DeepDOM_st2_PC001_GFF_350m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
